State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Black pepper,85.0,15.86
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Cashewnut,683.5,197.9
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Coconut,18394.7,52380000.0
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Dry chillies,60.0,145.2
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Dry ginger,118.0,366.0
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,other oilseeds,1.0,0.11
Andaman and Nicobar Islands,NICOBARS,2005,Kharif,Rice,2.09,12.06
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Banana,22.0,582.0
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Black pepper,41.0,0.1
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Cashewnut,450.0,55.8
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Coconut,13876.57,52030000.0
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Turmeric,10.0,70.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Arecanut,896.0,477.6
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Banana,198.0,976.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Black pepper,22.16,0.68
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Cashewnut,450.0,85.13
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Coconut,14358.0,59370000.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Dry chillies,3.0,9.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Dry ginger,6.0,21.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Sugarcane,0.2,0.5
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Sweet potato,18.0,86.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Tapioca,52.03,450.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Turmeric,2.5,1.03
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Rice,3.5,10.0
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Sugarcane,13.4,41.75
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Arecanut,944.0,1610.0
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Black pepper,23.0,8.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Cashewnut,1000.5,260.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Dry chillies,12.0,25.0
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Dry ginger,7.0,9.64
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Maize,3.84,18.22
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Moong(Green Gram),1.5,1.1
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Sweet potato,22.0,208.0
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Turmeric,2.0,0.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Urad,1.5,1.16
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Banana,593.0,3425.0
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Coconut,14560.0,71300000.0
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Tapioca,69.0,575.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Arecanut,3100.0,5200.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Other Kharif pulses,668.0,448.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Rice,10779.0,31863.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Banana,1531.0,12073.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Cashewnut,80.0,54.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Coconut,6992.0,23900000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Dry ginger,352.0,1120.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,other oilseeds,133.0,55.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Sugarcane,141.0,3736.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Sweet potato,78.0,843.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Tapioca,160.0,2108.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Arecanut,3100.0,5239.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Other Kharif pulses,418.0,199.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Rice,9718.0,27033.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Cashewnut,81.0,33.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Coconut,7015.0,25250000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Dry ginger,344.0,1124.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Sugarcane,81.0,2379.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Sweet potato,100.0,5.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,Rice,6854.3,18995.62
Andhra Pradesh,ANANTAPUR,1997,Kharif,Arhar/Tur,21400.0,2600.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Bajra,1400.0,500.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Castor seed,1000.0,100.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Cotton(lint),7300.0,9400.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Dry chillies,3700.0,7100.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Groundnut,650800.0,228400.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Horse-gram,3300.0,1000.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Jowar,10100.0,10200.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Korra,2200.0,700.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Maize,2800.0,4900.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Moong(Green Gram),1300.0,500.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Other Kharif pulses,800.0,100.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Ragi,6700.0,11800.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Rice,35600.0,75400.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Sugarcane,700.0,72900.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Sunflower,35900.0,11100.0
Andhra Pradesh,ANANTAPUR,1997,Kharif,Tobacco,200.0,200.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Dry chillies,100.0,100.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Gram,28000.0,14800.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Groundnut,20200.0,21700.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Horse-gram,600.0,200.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Jowar,18800.0,9400.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Korra,100.0,100.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Maize,600.0,2400.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Ragi,600.0,1000.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Rice,18000.0,37300.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Sunflower,30100.0,11100.0
Andhra Pradesh,ANANTAPUR,1997,Rabi,Wheat,300.0,200.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Arhar/Tur,27400.0,9100.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Bajra,2600.0,1900.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Castor seed,3200.0,1000.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Cotton(lint),14000.0,12900.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Dry chillies,4000.0,10000.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Groundnut,755200.0,867800.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Horse-gram,2300.0,900.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Jowar,3700.0,5800.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Korra,4600.0,3400.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Maize,3300.0,6700.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Moong(Green Gram),2100.0,1300.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Other Kharif pulses,2000.0,300.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Ragi,7000.0,14900.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Rice,38300.0,96800.0
Andhra Pradesh,ANANTAPUR,1998,Kharif,Sunflower,21300.0,12200.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Dry chillies,200.0,200.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Gram,26200.0,25900.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Groundnut,25900.0,35800.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Horse-gram,700.0,500.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Jowar,14800.0,22100.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Maize,300.0,1600.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Ragi,700.0,1200.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Rice,26600.0,63900.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Sunflower,13500.0,3300.0
Andhra Pradesh,ANANTAPUR,1998,Rabi,Wheat,400.0,200.0
Andhra Pradesh,ANANTAPUR,1998,Whole Year,Sugarcane,700.0,65900.0
Andhra Pradesh,ANANTAPUR,1998,Whole Year,Tobacco,100.0,100.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Bajra,1635.0,889.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Castor seed,1880.0,355.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Cotton(lint),9453.0,10510.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Groundnut,694865.0,249457.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Horse-gram,1762.0,495.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Jowar,11131.0,14582.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Maize,3358.0,9540.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Masoor,23117.0,3861.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Moong(Green Gram),1546.0,1098.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Ragi,6215.0,11467.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Rice,37991.0,105082.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Sesamum,8.0,2.0
Andhra Pradesh,ANANTAPUR,1999,Kharif,Urad,4.0,2.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Bajra,99.0,54.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Gram,26835.0,9365.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Groundnut,21785.0,25358.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Horse-gram,1071.0,327.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Jowar,21487.0,30576.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Linseed,12.0,1.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Maize,455.0,2203.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Masoor,98.0,10.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Moong(Green Gram),1.0,1.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Ragi,734.0,1180.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Rice,20258.0,45669.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Safflower,881.0,145.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Sesamum,10.0,2.0
Andhra Pradesh,ANANTAPUR,1999,Rabi,Wheat,439.0,294.0
Andhra Pradesh,ANANTAPUR,1999,Whole Year,Dry chillies,5199.0,5759.0
Andhra Pradesh,ANANTAPUR,1999,Whole Year,Onion,1770.0,32364.0
Andhra Pradesh,ANANTAPUR,1999,Whole Year,Sugarcane,884.0,83126.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Arhar/Tur,30693.0,7888.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Bajra,2477.0,1449.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Castor seed,9315.0,2831.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Cotton(lint),12025.0,16128.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Dry chillies,3755.0,10146.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Gram,21.0,14.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Groundnut,791559.0,884963.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Horse-gram,601.0,215.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Jowar,5071.0,14351.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Korra,1626.0,1143.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Maize,3475.0,9049.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Moong(Green Gram),1744.0,774.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Onion,1103.0,15470.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Other Kharif pulses,3167.0,559.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,other misc. pulses,1292.0,214.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Ragi,6613.0,16923.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Rice,39905.0,117680.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Samai,21.0,5.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Sesamum,5.0,1.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Small millets,1647.0,1148.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Sunflower,30606.0,24590.0
Andhra Pradesh,ANANTAPUR,2000,Kharif,Urad,135.0,8.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Arhar/Tur,35.0,9.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Bajra,317.0,185.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Dry chillies,71.0,81.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Gram,33858.0,22685.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Groundnut,23048.0,23832.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Horse-gram,377.0,80.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Jowar,15242.0,16980.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Korra,96.0,67.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Linseed,8.0,2.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Maize,399.0,2148.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Onion,482.0,11514.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Ragi,909.0,1312.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Rice,22099.0,57236.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Safflower,703.0,129.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Small millets,96.0,67.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Urad,363.0,292.0
Andhra Pradesh,ANANTAPUR,2000,Rabi,Wheat,520.0,297.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Arecanut,252.0,696.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Banana,769.0,11693.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Coconut,908.0,3896970.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Coriander,8953.0,2266.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Potato,4.0,34.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Sugarcane,284.0,25395.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Sweet potato,28.0,379.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Tobacco,89.0,114.0
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Turmeric,39.0,272.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Arhar/Tur,27942.0,7628.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Bajra,1595.0,526.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Castor seed,3191.0,900.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Cotton(lint),8552.0,9055.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Dry chillies,3765.0,7127.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Gram,16.0,17.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Groundnut,758700.0,333828.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Horse-gram,649.0,60.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Jowar,3900.0,6720.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Korra,1434.0,627.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Maize,2667.0,7129.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Moong(Green Gram),1511.0,730.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Onion,1165.0,19232.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Other Kharif pulses,2496.0,324.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Ragi,5124.0,12405.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Rice,32878.0,95609.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Small millets,1434.0,627.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Sunflower,51610.0,33580.0
Andhra Pradesh,ANANTAPUR,2001,Kharif,Urad,487.0,176.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Arhar/Tur,5.0,1.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Bajra,27.0,9.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Dry chillies,108.0,168.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Gram,47894.0,50145.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Groundnut,18773.0,29192.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Horse-gram,417.0,226.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Jowar,15170.0,17446.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Linseed,5.0,1.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Maize,447.0,2893.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Moong(Green Gram),40.0,12.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Onion,380.0,8465.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Other  Rabi pulses,1.0,1.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Ragi,544.0,725.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Rice,38119.0,108906.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Safflower,3768.0,528.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Sesamum,2.0,1.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Urad,127.0,86.0
Andhra Pradesh,ANANTAPUR,2001,Rabi,Wheat,307.0,213.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Arecanut,257.0,430.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Banana,1582.0,462.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Coconut,851.0,3053700.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Coriander,4741.0,1119.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Sugarcane,490.0,42470.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Sweet potato,31.0,411.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Tobacco,111.0,111.0
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Turmeric,8.0,40.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Arhar/Tur,33454.0,6557.0
Andhra Pradesh,ANANTAPUR,2002,Kharif,Bajra,1925.0,581.0
Andhra Pradesh,CHITTOOR,1999,Rabi,Ragi,1354.0,1887.0
Andhra Pradesh,CHITTOOR,1999,Rabi,Rice,37489.0,76800.0
Andhra Pradesh,CHITTOOR,1999,Rabi,Sesamum,587.0,135.0
Andhra Pradesh,CHITTOOR,1999,Rabi,Urad,70.0,46.0
Andhra Pradesh,CHITTOOR,1999,Whole Year,Dry chillies,3370.0,4968.0
Andhra Pradesh,CHITTOOR,1999,Whole Year,Onion,548.0,8149.0
Andhra Pradesh,CHITTOOR,1999,Whole Year,Sugarcane,44929.0,4097998.0
Andhra Pradesh,CHITTOOR,1999,Whole Year,Tobacco,17.0,17.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Arhar/Tur,6032.0,2172.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Bajra,3771.0,4936.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Castor seed,546.0,166.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Cotton(lint),19.0,25.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Dry chillies,522.0,770.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Gram,6.0,5.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Groundnut,192106.0,218617.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Horse-gram,3774.0,2004.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Jowar,3556.0,2703.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Korra,13.0,9.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Maize,357.0,930.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Mesta,6.0,53.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Moong(Green Gram),138.0,61.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Onion,286.0,3991.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Other Kharif pulses,2988.0,650.0
Andhra Pradesh,CHITTOOR,2000,Kharif,other misc. pulses,1653.0,464.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Ragi,11350.0,12133.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Rice,33776.0,89236.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Samai,2348.0,587.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Sesamum,432.0,100.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Small millets,2361.0,596.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Sunflower,535.0,449.0
Andhra Pradesh,CHITTOOR,2000,Kharif,Urad,120.0,7.0
Andhra Pradesh,CHITTOOR,2000,Rabi,Bajra,393.0,514.0
Andhra Pradesh,CHITTOOR,2000,Rabi,Dry chillies,2676.0,3056.0
Andhra Pradesh,CHITTOOR,2000,Rabi,Groundnut,22396.0,60156.0
Andhra Pradesh,CHITTOOR,2000,Rabi,Horse-gram,1509.0,318.0
Andhra Pradesh,CHITTOOR,2000,Rabi,Jowar,54.0,65.0
Andhra Pradesh,CHITTOOR,2000,Rabi,Linseed,30.0,6.0
Andhra Pradesh,CHITTOOR,2000,Rabi,Maize,56.0,302.0
Andhra Pradesh,CHITTOOR,2000,Rabi,Moong(Green Gram),42.0,14.0
Andhra Pradesh,CHITTOOR,2000,Rabi,Onion,230.0,5494.0
Andhra Pradesh,CHITTOOR,2000,Rabi,Other  Rabi pulses,13.0,2.0
Andhra Pradesh,CHITTOOR,2000,Rabi,other misc. pulses,13.0,2.0
